atom_index,1_cshift,1_hshift,1_multi,1_coupling,2_cshift,2_hshift,2_multi,2_coupling,3_cshift,3_hshift,3_multi,3_coupling
1,171.7,,,,168.8,,,,168.7,,,
2,,,,,,,,,48.6,,,
3,68.7,5.25,s,,48.9,4.24,s,,121.9,4.29,s,
3a,125.6,,,,121.9,,,,150.8,,,
4,150.5,,,,150.8,,,,121,,,
5,124.1,,,,121.2,,,,159.9,,,
6,160.7,,,,159.9,,,,97.8,,,
7,98.7,6.89,s,,97.8,6.83,s,,133.3,6.85,s,
7a,127.7,,,,133,,,,56.4,,,
OMe,56.5,3.91,s,,56.4,3.86,s,,23.3,3.88,s,
1′,23.5,3.47,d,7.2,23.3,3.43,d,7.2,123.4,3.42,d,7.2
2′,123.5,5.26,m,,123.4,5.21,tq,"7.2, 1.3",135.5,5.2,tq,"7.2, 1.3"
3′,135.2,,,,135.5,,,,40.6,,,
4′,39,2.1,t,7.4,40.6,1.94,m,,27.5,1.94,m,
5′,27.8,2.28,m,,27.5,2.02,m,,125.2,2.03,m,
6′,142.6,6.71,tq,"7.4, 1.4",125.2,5.05,m,,131.7,5.06,m,
7′,128.4,,,,131.7,,,,25.9,,,
8′,169.1,,,,25.9,1.6,d,1.1,16.3,1.6,d,1.2
9′,16.2,1.81,d,1.2,16.3,1.77,d,1.3,17.8,1.77,d,1.3
10′,12.5,1.75,m,,17.8,1.54,s,,43.6,1.54,s,
1″,,,,,45,3.76,t,7.3,25.3,3.9,t,7.3
2″,,,,,34.7,2.87,t,7.3,113.1,3.12,t,7.3
3″,,,,,130.9,,,,123.3,,,
4″,,,,,130.6,7.07,d,8.5,137.7,7.18,s,
5″,,,,,116.2,6.75,d,8.5,112.2,10,s br,
6″,,,,,156.8,,,,122.3,,,
7″,,,,,116.2,6.75,d,8.5,119.6,7.38,ddd,"8.1, 0.9, 0.9"
8″,,,,,130.6,7.07,d,8.5,119.3,7.1,ddd,"8.1, 7.0, 1.1"
9″,,,,,,,,,128.6,7.02,ddd,"7.9, 7.0, 1.0"
